GOID	TERM
29506	GO:0070979	protein K11-linked ubiquitination
29508	GO:0070981	L-asparagine biosynthetic process
29509	GO:0070982	L-asparagine metabolic process
29512	GO:0070985	transcription factor TFIIK complex
29513	GO:0070986	left/right axis specification
29515	GO:0070988	demethylation
29516	GO:0070989	oxidative demethylation
29518	GO:0070991	medium-chain-acyl-CoA dehydrogenase activity
29520	GO:0070993	translation preinitiation complex
29523	GO:0070996	type 1 melanocortin receptor binding
29524	GO:0070997	neuron death
29532	GO:0071005	U2-type precatalytic spliceosome
29533	GO:0071006	U2-type catalytic step 1 spliceosome
29538	GO:0071011	precatalytic spliceosome
29539	GO:0071012	catalytic step 1 spliceosome
29540	GO:0071013	catalytic step 2 spliceosome
29552	GO:0071025	RNA surveillance
29604	GO:0071077	adenosine 3',5'-bisphosphate transmembrane transporter activity
29630	GO:0071103	DNA conformation change
29635	GO:0071108	protein K48-linked deubiquitination
29682	GO:0071166	ribonucleoprotein complex localization
29688	GO:0071173	spindle assembly checkpoint signaling
29689	GO:0071174	mitotic spindle checkpoint signaling
29718	GO:0071203	WASH complex
29720	GO:0071205	protein localization to juxtaparanode region of axon
29724	GO:0071209	U7 snRNA binding
29729	GO:0071214	cellular response to abiotic stimulus
29731	GO:0071216	cellular response to biotic stimulus
29734	GO:0071219	cellular response to molecule of bacterial origin
29737	GO:0071222	cellular response to lipopolysaccharide
29744	GO:0071229	cellular response to acid chemical
29745	GO:0071230	cellular response to amino acid stimulus
29756	GO:0071241	cellular response to inorganic substance
29763	GO:0071248	cellular response to metal ion
29768	GO:0071253	connexin binding
29780	GO:0071265	L-methionine biosynthetic process
29782	GO:0071267	L-methionine salvage
29791	GO:0071276	cellular response to cadmium ion
29792	GO:0071277	cellular response to calcium ion
29795	GO:0071280	cellular response to copper ion
29809	GO:0071294	cellular response to zinc ion
29825	GO:0071310	cellular response to organic substance
29837	GO:0071322	cellular response to carbohydrate stimulus
29841	GO:0071326	cellular response to monosaccharide stimulus
29846	GO:0071331	cellular response to hexose stimulus
29848	GO:0071333	cellular response to glucose stimulus
29854	GO:0071339	MLL1 complex
29859	GO:0071345	cellular response to cytokine stimulus
29860	GO:0071346	cellular response to interferon-gamma
29861	GO:0071347	cellular response to interleukin-1
29870	GO:0071356	cellular response to tumor necrosis factor
29877	GO:0071363	cellular response to growth factor stimulus
29889	GO:0071375	cellular response to peptide hormone stimulus
29893	GO:0071379	cellular response to prostaglandin stimulus
29897	GO:0071383	cellular response to steroid hormone stimulus
29898	GO:0071384	cellular response to corticosteroid stimulus
29899	GO:0071385	cellular response to glucocorticoid stimulus
29901	GO:0071387	cellular response to cortisol stimulus
29905	GO:0071391	cellular response to estrogen stimulus
29906	GO:0071392	cellular response to estradiol stimulus
29910	GO:0071396	cellular response to lipid
29912	GO:0071398	cellular response to fatty acid
29921	GO:0071407	cellular response to organic cyclic compound
29931	GO:0071417	cellular response to organonitrogen compound
29939	GO:0071425	hematopoietic stem cell proliferation
29940	GO:0071426	ribonucleoprotein complex export from nucleus
29941	GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus
29942	GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus
29945	GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus
29949	GO:0071439	clathrin complex
29968	GO:0071459	protein localization to chromosome, centromeric region
29975	GO:0071466	cellular response to xenobiotic stimulus
29979	GO:0071470	cellular response to osmotic stress
29981	GO:0071472	cellular response to salt stress
29985	GO:0071476	cellular hypotonic response
29986	GO:0071477	cellular hypotonic salinity response
29987	GO:0071478	cellular response to radiation
29988	GO:0071479	cellular response to ionizing radiation
29989	GO:0071480	cellular response to gamma radiation
29991	GO:0071482	cellular response to light stimulus
30004	GO:0071495	cellular response to endogenous stimulus
30005	GO:0071496	cellular response to external stimulus
30007	GO:0071498	cellular response to fluid shear stress
30010	GO:0071501	cellular response to sterol depletion
30018	GO:0071514	genetic imprinting
30031	GO:0071528	tRNA re-export from nucleus
30035	GO:0071539	protein localization to centrosome
30036	GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e
30037	GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m
30038	GO:0071542	dopaminergic neuron differentiation
30041	GO:0071545	inositol phosphate catabolic process
30054	GO:0071559	response to transforming growth factor beta
30055	GO:0071560	cellular response to transforming growth factor beta stimulus
30059	GO:0071564	npBAF complex
30060	GO:0071565	nBAF complex
30063	GO:0071568	UFM1 transferase activity
30064	GO:0071569	protein ufmylation
30080	GO:0071586	CAAX-box protein processing
30090	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway
30093	GO:0071599	otic vesicle development
30094	GO:0071600	otic vesicle morphogenesis
30109	GO:0071616	acyl-CoA biosynthetic process
30110	GO:0071617	lysophospholipid acyltransferase activity
30114	GO:0071621	granulocyte chemotaxis
30115	GO:0071622	regulation of granulocyte chemotaxis
30116	GO:0071623	negative regulation of granulocyte chemotaxis
30167	GO:0071674	mononuclear cell migration
30168	GO:0071675	regulation of mononuclear cell migration
30170	GO:0071677	positive regulation of mononuclear cell migration
30171	GO:0071678	olfactory bulb axon guidance
30172	GO:0071679	commissural neuron axon guidance
30183	GO:0071692	protein localization to extracellular region
30186	GO:0071695	anatomical structure maturation
30187	GO:0071696	ectodermal placode development
30188	GO:0071697	ectodermal placode morphogenesis
30189	GO:0071698	olfactory placode development
30190	GO:0071699	olfactory placode morphogenesis
30193	GO:0071702	organic substance transport
30195	GO:0071704	organic substance metabolic process
30196	GO:0071705	nitrogen compound transport
30200	GO:0071709	membrane assembly
30202	GO:0071711	basement membrane organization
30206	GO:0071715	icosanoid transport
30262	GO:0071772	response to BMP
30263	GO:0071773	cellular response to BMP stimulus
30264	GO:0071774	response to fibroblast growth factor
30266	GO:0071782	endoplasmic reticulum tubular network
30270	GO:0071786	endoplasmic reticulum tubular network organization
30272	GO:0071788	endoplasmic reticulum tubular network maintenance
30279	GO:0071797	LUBAC complex
30286	GO:0071805	potassium ion transmembrane transport
30287	GO:0071806	protein transmembrane transport
30297	GO:0071816	tail-anchored membrane protein insertion into ER membrane
30300	GO:0071819	DUBm complex
30304	GO:0071824	protein-DNA complex subunit organization
30305	GO:0071825	protein-lipid complex subunit organization
30306	GO:0071826	ribonucleoprotein complex subunit organization
30307	GO:0071827	plasma lipoprotein particle organization
30320	GO:0071840	cellular component organization or biogenesis
30327	GO:0071855	neuropeptide receptor binding
30337	GO:0071867	response to monoamine
30338	GO:0071868	cellular response to monoamine stimulus
30339	GO:0071869	response to catecholamine
30340	GO:0071870	cellular response to catecholamine stimulus
30341	GO:0071871	response to epinephrine
30365	GO:0071897	DNA biosynthetic process
30366	GO:0071900	regulation of protein serine/threonine kinase activity
30367	GO:0071901	negative regulation of protein serine/threonine kinase activity
30373	GO:0071907	determination of digestive tract left/right asymmetry
30374	GO:0071908	determination of intestine left/right asymmetry
30376	GO:0071910	determination of liver left/right asymmetry
30382	GO:0071916	dipeptide transmembrane transporter activity
30395	GO:0071929	alpha-tubulin acetylation
30402	GO:0071936	coreceptor activity involved in Wnt signaling pathway
30406	GO:0071941	nitrogen cycle metabolic process
30409	GO:0071944	cell periphery
30414	GO:0071949	FAD binding
30426	GO:0071962	mitotic sister chromatid cohesion, centromeric
30448	GO:0071985	multivesicular body sorting pathway
30449	GO:0071986	Ragulator complex
30461	GO:0072001	renal system development
30463	GO:0072003	kidney rudiment formation
30466	GO:0072006	nephron development
30469	GO:0072009	nephron epithelium development
30470	GO:0072010	glomerular epithelium development
30472	GO:0072012	glomerulus vasculature development
30474	GO:0072014	proximal tubule development
30475	GO:0072015	glomerular visceral epithelial cell development
30477	GO:0072017	distal tubule development
30478	GO:0072019	proximal convoluted tubule development
30486	GO:0072028	nephron morphogenesis
30503	GO:0072045	convergent extension involved in nephron morphogenesis
30506	GO:0072048	renal system pattern specification
30531	GO:0072073	kidney epithelium development
30538	GO:0072080	nephron tubule development
30546	GO:0072089	stem cell proliferation
30548	GO:0072091	regulation of stem cell proliferation
30555	GO:0072098	anterior/posterior pattern specification involved in kidney development
30559	GO:0072102	glomerulus morphogenesis
30560	GO:0072103	glomerulus vasculature morphogenesis
30561	GO:0072104	glomerular capillary formation
30569	GO:0072112	glomerular visceral epithelial cell differentiation
30571	GO:0072114	pronephros morphogenesis
30573	GO:0072116	pronephros formation
30589	GO:0072132	mesenchyme morphogenesis
30605	GO:0072148	epithelial cell fate commitment
30617	GO:0072160	nephron tubule epithelial cell differentiation
30632	GO:0072175	epithelial tube formation
30633	GO:0072176	nephric duct development
30635	GO:0072178	nephric duct morphogenesis
30767	GO:0072310	glomerular epithelial cell development
30768	GO:0072311	glomerular epithelial cell differentiation
30783	GO:0072329	monocarboxylic acid catabolic process
30784	GO:0072330	monocarboxylic acid biosynthetic process
30785	GO:0072331	signal transduction by p53 class mediator
30786	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator
30794	GO:0072341	modified amino acid binding
30797	GO:0072344	rescue of stalled ribosome
30802	GO:0072349	modified amino acid transmembrane transporter activity
30803	GO:0072350	tricarboxylic acid metabolic process
30811	GO:0072359	circulatory system development
30818	GO:0072376	protein activation cascade
30820	GO:0072378	blood coagulation, fibrin clot formation
30825	GO:0072383	plus-end-directed vesicle transport along microtubule
30826	GO:0072384	organelle transport along microtubule
30828	GO:0072386	plus-end-directed organelle transport along microtubule
30835	GO:0072393	microtubule anchoring at microtubule organizing center
30860	GO:0072487	MSL complex
30871	GO:0072498	embryonic skeletal joint development
30875	GO:0072503	cellular divalent inorganic cation homeostasis
30878	GO:0072506	trivalent inorganic anion homeostasis
30879	GO:0072507	divalent inorganic cation homeostasis
30887	GO:0072521	purine-containing compound metabolic process
30888	GO:0072522	purine-containing compound biosynthetic process
30889	GO:0072523	purine-containing compound catabolic process
30890	GO:0072524	pyridine-containing compound metabolic process
30891	GO:0072525	pyridine-containing compound biosynthetic process
30893	GO:0072527	pyrimidine-containing compound metabolic process
30894	GO:0072528	pyrimidine-containing compound biosynthetic process
30895	GO:0072529	pyrimidine-containing compound catabolic process
30896	GO:0072530	purine-containing compound transmembrane transport
30904	GO:0072538	T-helper 17 type immune response
30905	GO:0072539	T-helper 17 cell differentiation
30906	GO:0072540	T-helper 17 cell lineage commitment
30908	GO:0072542	protein phosphatase activator activity
30910	GO:0072545	tyrosine binding
30911	GO:0072546	EMC complex
30919	GO:0072554	blood vessel lumenization
30933	GO:0072572	poly-ADP-D-ribose binding
30935	GO:0072574	hepatocyte proliferation
30936	GO:0072575	epithelial cell proliferation involved in liver morphogenesis
30937	GO:0072576	liver morphogenesis
30944	GO:0072583	clathrin-dependent endocytosis
30954	GO:0072593	reactive oxygen species metabolic process
30955	GO:0072594	establishment of protein localization to organelle
30956	GO:0072595	maintenance of protein localization in organelle
30960	GO:0072599	establishment of protein localization to endoplasmic reticulum
30973	GO:0072655	establishment of protein localization to mitochondrion
30975	GO:0072657	protein localization to membrane
30977	GO:0072659	protein localization to plasma membrane
30979	GO:0072662	protein localization to peroxisome
30980	GO:0072663	establishment of protein localization to peroxisome
30982	GO:0072665	protein localization to vacuole
30983	GO:0072666	establishment of protein localization to vacuole
30985	GO:0072669	tRNA-splicing ligase complex
30992	GO:0072676	lymphocyte migration
30994	GO:0072678	T cell migration
31010	GO:0072698	protein localization to microtubule cytoskeleton
31304	GO:0080008	Cul4-RING E3 ubiquitin ligase complex
31305	GO:0080009	mRNA methylation
31314	GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity
31320	GO:0080025	phosphatidylinositol-3,5-bisphosphate binding
31342	GO:0080048	GDP-D-glucose phosphorylase activity
31351	GO:0080058	protein deglutathionylation
31380	GO:0080090	regulation of primary metabolic process
31391	GO:0080101	phosphatidyl-N-dimethylethanolamine N-methyltransferase activity
31401	GO:0080111	DNA demethylation
31410	GO:0080120	CAAX-box protein maturation
31423	GO:0080134	regulation of response to stress
31424	GO:0080135	regulation of cellular response to stress
31433	GO:0080146	L-cysteine desulfhydrase activity
31441	GO:0080154	regulation of fertilization
31450	GO:0080164	regulation of nitric oxide metabolic process
31457	GO:0080171	lytic vacuole organization
31487	GO:0085029	extracellular matrix assembly
31499	GO:0086001	cardiac muscle cell action potential
31501	GO:0086003	cardiac muscle cell contraction
31502	GO:0086004	regulation of cardiac muscle cell contraction
31598	GO:0089701	U2AF complex
31620	GO:0090008	hypoblast development
31632	GO:0090022	regulation of neutrophil chemotaxis
31634	GO:0090024	negative regulation of neutrophil chemotaxis
31646	GO:0090036	regulation of protein kinase C signaling
31653	GO:0090049	regulation of cell migration involved in sprouting angiogenesis
31654	GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis
31669	GO:0090066	regulation of anatomical structure size
31671	GO:0090068	positive regulation of cell cycle process
31672	GO:0090069	regulation of ribosome biogenesis
31677	GO:0090075	relaxation of muscle
31681	GO:0090079	translation regulator activity, nucleic acid binding
31689	GO:0090087	regulation of peptide transport
31692	GO:0090090	negative regulation of canonical Wnt signaling pathway
31694	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
31699	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
31700	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
31703	GO:0090104	pancreatic epsilon cell differentiation
31713	GO:0090114	COPII-coated vesicle budding
31716	GO:0090118	receptor-mediated endocytosis involved in cholesterol transport
31726	GO:0090128	regulation of synapse maturation
31728	GO:0090130	tissue migration
31729	GO:0090131	mesenchyme migration
31730	GO:0090132	epithelium migration
31731	GO:0090133	mesendoderm migration
31732	GO:0090134	cell migration involved in mesendoderm migration
31734	GO:0090136	epithelial cell-cell adhesion
31742	GO:0090148	membrane fission
31743	GO:0090149	mitochondrial membrane fission
31744	GO:0090150	establishment of protein localization to membrane
31745	GO:0090151	establishment of protein localization to mitochondrial membrane
31747	GO:0090153	regulation of sphingolipid biosynthetic process
31749	GO:0090155	negative regulation of sphingolipid biosynthetic process
31750	GO:0090156	cellular sphingolipid homeostasis
31754	GO:0090161	Golgi ribbon formation
31755	GO:0090162	establishment of epithelial cell polarity
31764	GO:0090171	chondrocyte morphogenesis
31767	GO:0090174	organelle membrane fusion
31794	GO:0090207	regulation of triglyceride metabolic process
31795	GO:0090208	positive regulation of triglyceride metabolic process
31809	GO:0090222	centrosome-templated microtubule nucleation
31818	GO:0090231	regulation of spindle checkpoint
31842	GO:0090257	regulation of muscle system process
31844	GO:0090259	regulation of retinal ganglion cell axon guidance
31848	GO:0090263	positive regulation of canonical Wnt signaling pathway
31851	GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint
31861	GO:0090276	regulation of peptide hormone secretion
31862	GO:0090277	positive regulation of peptide hormone secretion
31871	GO:0090287	regulation of cellular response to growth factor stimulus
31872	GO:0090288	negative regulation of cellular response to growth factor stimulus
31886	GO:0090303	positive regulation of wound healing
31887	GO:0090304	nucleic acid metabolic process
31888	GO:0090305	nucleic acid phosphodiester bond hydrolysis
31889	GO:0090306	meiotic spindle assembly
31890	GO:0090307	mitotic spindle assembly
31894	GO:0090311	regulation of protein deacetylation
31918	GO:0090335	regulation of brown fat cell differentiation
31919	GO:0090336	positive regulation of brown fat cell differentiation
31948	GO:0090365	regulation of mRNA modification
31965	GO:0090382	phagosome maturation
31981	GO:0090398	cellular senescence
31989	GO:0090407	organophosphate biosynthetic process
32048	GO:0090482	vitamin transmembrane transporter activity
32062	GO:0090498	extrinsic component of Golgi membrane
32065	GO:0090501	RNA phosphodiester bond hydrolysis
32067	GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic
32068	GO:0090504	epiboly
32069	GO:0090505	epiboly involved in wound healing
32083	GO:0090520	sphingolipid mediated signaling pathway
32085	GO:0090522	vesicle tethering involved in exocytosis
32093	GO:0090533	cation-transporting ATPase complex
32097	GO:0090537	CERF complex
32104	GO:0090545	CHD-type complex
32118	GO:0090559	regulation of membrane permeability
32119	GO:0090560	2-(3-amino-3-carboxypropyl)histidine synthase activity
32128	GO:0090571	RNA polymerase II transcription repressor complex
32132	GO:0090575	RNA polymerase II transcription regulator complex
32133	GO:0090576	RNA polymerase III transcription regulator complex
32150	GO:0090594	inflammatory response to wounding
32152	GO:0090596	sensory organ morphogenesis
32155	GO:0090599	alpha-glucosidase activity
32180	GO:0090630	activation of GTPase activity
32208	GO:0090660	cerebrospinal fluid circulation
32212	GO:0090665	glycoprotein complex
32271	GO:0090729	toxin activity
32272	GO:0090730	Las1 complex
32277	GO:0090735	DNA repair complex assembly
32281	GO:0090741	pigment granule membrane
32284	GO:0095500	acetylcholine receptor signaling pathway
32290	GO:0097006	regulation of plasma lipoprotein particle levels
32298	GO:0097014	ciliary plasm
32299	GO:0097016	L27 domain binding
32306	GO:0097023	fructose 6-phosphate aldolase activity
32307	GO:0097025	MPP7-DLG1-LIN7 complex
32309	GO:0097027	ubiquitin-protein transferase activator activity
32310	GO:0097028	dendritic cell differentiation
32313	GO:0097035	regulation of membrane lipid distribution
32330	GO:0097052	L-kynurenine metabolic process
32331	GO:0097053	L-kynurenine catabolic process
32334	GO:0097056	selenocysteinyl-tRNA(Sec) biosynthetic process
32338	GO:0097060	synaptic membrane
32342	GO:0097064	ncRNA export from nucleus
32362	GO:0097084	vascular associated smooth muscle cell development
32389	GO:0097111	endoplasmic reticulum-Golgi intermediate compartment organization
32428	GO:0097150	neuronal stem cell population maintenance
32431	GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process
32432	GO:0097154	GABAergic neuron differentiation
32433	GO:0097155	fasciculation of sensory neuron axon
32437	GO:0097159	organic cyclic compound binding
32442	GO:0097164	ammonium ion metabolic process
32456	GO:0097178	ruffle assembly
32468	GO:0097190	apoptotic signaling pathway
32471	GO:0097193	intrinsic apoptotic signaling pathway
32472	GO:0097194	execution phase of apoptosis
32476	GO:0097198	histone H3-K36 trimethylation
32477	GO:0097199	cysteine-type endopeptidase activity involved in apoptotic signaling pathway
32478	GO:0097200	cysteine-type endopeptidase activity involved in execution phase of apoptosis
32483	GO:0097205	renal filtration
32501	GO:0097224	sperm connecting piece
32516	GO:0097241	hematopoietic stem cell migration to bone marrow
32529	GO:0097255	R2TP complex
32531	GO:0097257	leukotriene B4 12-hydroxy dehydrogenase activity
32571	GO:0097300	programmed necrotic cell death
32576	GO:0097305	response to alcohol
32577	GO:0097306	cellular response to alcohol
32580	GO:0097309	cap1 mRNA methylation
32589	GO:0097320	plasma membrane tubulation
32593	GO:0097324	melanocyte migration
32614	GO:0097345	mitochondrial outer membrane permeabilization
32615	GO:0097346	INO80-type complex
32620	GO:0097352	autophagosome maturation
32622	GO:0097354	prenylation
32628	GO:0097361	CIA complex
32630	GO:0097363	protein O-GlcNAc transferase activity
32634	GO:0097367	carbohydrate derivative binding
32640	GO:0097374	sensory neuron axon guidance
32650	GO:0097384	cellular lipid biosynthetic process
32690	GO:0097428	protein maturation by iron-sulfur cluster transfer
32697	GO:0097435	supramolecular fiber organization
32709	GO:0097447	dendritic tree
32724	GO:0097466	ubiquitin-dependent glycoprotein ERAD pathway
32729	GO:0097472	cyclin-dependent protein kinase activity
32732	GO:0097475	motor neuron migration
32740	GO:0097485	neuron projection guidance
32751	GO:0097496	blood vessel lumen ensheathment
32752	GO:0097497	blood vessel endothelial cell delamination
32753	GO:0097498	endothelial tube lumen extension
32757	GO:0097502	mannosylation
32761	GO:0097506	deaminated base DNA N-glycosylase activity
32779	GO:0097525	spliceosomal snRNP complex
32780	GO:0097526	spliceosomal tri-snRNP complex
32783	GO:0097529	myeloid leukocyte migration
32784	GO:0097530	granulocyte migration
32788	GO:0097534	lymphoid lineage cell migration
32789	GO:0097535	lymphoid lineage cell migration into thymus
32800	GO:0097546	ciliary base
32806	GO:0097553	calcium ion transmembrane import into cytosol
32834	GO:0097581	lamellipodium organization
32855	GO:0097602	cullin family protein binding
32891	GO:0097642	calcitonin family receptor activity
32900	GO:0097651	phosphatidylinositol 3-kinase complex, class I
32908	GO:0097659	nucleic acid-templated transcription
32943	GO:0097696	receptor signaling pathway via STAT
32949	GO:0097702	response to oscillatory fluid shear stress
32951	GO:0097704	cellular response to oscillatory fluid shear stress
32955	GO:0097708	intracellular vesicle
32956	GO:0097709	connective tissue replacement
32967	GO:0097720	calcineurin-mediated signaling
32969	GO:0097722	sperm motility
32975	GO:0097729	9+2 motile cilium
32976	GO:0097730	non-motile cilium
32977	GO:0097731	9+0 non-motile cilium
32979	GO:0097733	photoreceptor cell cilium
32988	GO:0097742	de novo centriole assembly
32992	GO:0097746	blood vessel diameter maintenance
32993	GO:0097747	RNA polymerase activity
33027	GO:0098038	non-replicative transposition, DNA-mediated
33037	GO:0098508	endothelial to hematopoietic transition
33047	GO:0098518	polynucleotide phosphatase activity
33060	GO:0098531	ligand-activated transcription factor activity
33062	GO:0098533	ATPase dependent transmembrane transport complex
33063	GO:0098534	centriole assembly
33064	GO:0098535	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation
33065	GO:0098536	deuterosome
33070	GO:0098542	defense response to other organism
33079	GO:0098552	side of membrane
33089	GO:0098562	cytoplasmic side of membrane
33100	GO:0098573	intrinsic component of mitochondrial membrane
33112	GO:0098586	cellular response to virus
33113	GO:0098588	bounding membrane of organelle
33114	GO:0098590	plasma membrane region
33123	GO:0098599	palmitoyl hydrolase activity
33132	GO:0098609	cell-cell adhesion
33157	GO:0098636	protein complex involved in cell adhesion
33175	GO:0098655	cation transmembrane transport
33176	GO:0098656	anion transmembrane transport
33180	GO:0098660	inorganic ion transmembrane transport
33181	GO:0098661	inorganic anion transmembrane transport
33182	GO:0098662	inorganic cation transmembrane transport
33203	GO:0098687	chromosomal region
33239	GO:0098725	symmetric cell division
33241	GO:0098727	maintenance of cell number
33246	GO:0098732	macromolecule deacylation
33248	GO:0098734	macromolecule depalmitoylation
33253	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules
33254	GO:0098743	cell aggregation
33261	GO:0098751	bone cell development
33279	GO:0098771	inorganic ion homeostasis
33280	GO:0098772	molecular function regulator
33289	GO:0098781	ncRNA transcription
33298	GO:0098791	Golgi apparatus subcompartment
33300	GO:0098793	presynapse
33301	GO:0098794	postsynapse
33303	GO:0098796	membrane protein complex
33304	GO:0098797	plasma membrane protein complex
33305	GO:0098798	mitochondrial protein-containing complex
33306	GO:0098799	outer mitochondrial membrane protein complex
33307	GO:0098800	inner mitochondrial membrane protein complex
33309	GO:0098802	plasma membrane signaling receptor complex
33310	GO:0098803	respiratory chain complex
33314	GO:0098808	mRNA cap binding
33315	GO:0098809	nitrite reductase activity
33318	GO:0098813	nuclear chromosome segregation
33331	GO:0098826	endoplasmic reticulum tubular network membrane
33332	GO:0098827	endoplasmic reticulum subcompartment
33352	GO:0098847	sequence-specific single stranded DNA binding
33357	GO:0098852	lytic vacuole membrane
33361	GO:0098856	intestinal lipid absorption
33362	GO:0098857	membrane microdomain
33363	GO:0098858	actin-based cell projection
33367	GO:0098862	cluster of actin-based cell projections
33373	GO:0098868	bone growth
33381	GO:0098876	vesicle-mediated transport to the plasma membrane
33421	GO:0098916	anterograde trans-synaptic signaling
33431	GO:0098926	postsynaptic signal transduction
33432	GO:0098927	vesicle-mediated transport between endosomal compartments
33435	GO:0098930	axonal transport
33441	GO:0098936	intrinsic component of postsynaptic membrane
33463	GO:0098958	retrograde axonal transport of mitochondrion
33465	GO:0098960	postsynaptic neurotransmitter receptor activity
33489	GO:0098984	neuron to neuron synapse
33508	GO:0099003	vesicle-mediated transport in synapse
33527	GO:0099022	vesicle tethering
33528	GO:0099023	vesicle tethering complex
33529	GO:0099024	plasma membrane invagination
33559	GO:0099054	presynapse assembly
33560	GO:0099055	integral component of postsynaptic membrane
33585	GO:0099080	supramolecular complex
33586	GO:0099081	supramolecular polymer
33591	GO:0099086	synaptonemal structure
33598	GO:0099094	ligand-gated cation channel activity
33599	GO:0099095	ligand-gated anion channel activity
33609	GO:0099106	ion channel regulator activity
33614	GO:0099111	microtubule-based transport
33618	GO:0099116	tRNA 5'-end processing
33641	GO:0099142	intracellularly ATP-gated ion channel activity
33671	GO:0099172	presynapse organization
33673	GO:0099174	regulation of presynapse organization
33676	GO:0099177	regulation of trans-synaptic signaling
33692	GO:0099240	intrinsic component of synaptic membrane
33700	GO:0099501	exocytic vesicle membrane
33702	GO:0099503	secretory vesicle
33703	GO:0099504	synaptic vesicle cycle
33711	GO:0099512	supramolecular fiber
33712	GO:0099513	polymeric cytoskeletal fiber
33716	GO:0099518	vesicle cytoskeletal trafficking
33726	GO:0099528	G protein-coupled neurotransmitter receptor activity
33727	GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential
33734	GO:0099536	synaptic signaling
33735	GO:0099537	trans-synaptic signaling
33766	GO:0099568	cytoplasmic region
33769	GO:0099572	postsynaptic specialization
33785	GO:0099589	serotonin receptor activity
33789	GO:0099601	regulation of neurotransmitter receptor activity
33790	GO:0099602	neurotransmitter receptor regulator activity
33791	GO:0099604	ligand-gated calcium channel activity
33799	GO:0099612	protein localization to axon
33830	GO:0099643	signal release from synapse
33834	GO:0099699	integral component of synaptic membrane
33850	GO:0101005	deubiquitinase activity
33851	GO:0101006	protein histidine phosphatase activity
33870	GO:0101030	tRNA-guanine transglycosylation
33942	GO:0102092	5-diphosphoinositol pentakisphosphate 3-kinase activity
33964	GO:0102121	ceramidase activity
33988	GO:0102148	N-acetyl-beta-D-galactosaminidase activity
33997	GO:0102158	very-long-chain 3-hydroxyacyl-CoA dehydratase activity
34031	GO:0102193	protein-ribulosamine 3-kinase activity
34038	GO:0102200	N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity
34077	GO:0102250	linear malto-oligosaccharide phosphorylase activity
34154	GO:0102336	3-oxo-arachidoyl-CoA synthase activity
34155	GO:0102337	3-oxo-cerotoyl-CoA synthase activity
34156	GO:0102338	3-oxo-lignoceronyl-CoA synthase activity
34161	GO:0102343	3-hydroxy-arachidoyl-CoA dehydratase activity
34162	GO:0102344	3-hydroxy-behenoyl-CoA dehydratase activity
34163	GO:0102345	3-hydroxy-lignoceroyl-CoA dehydratase activity
34310	GO:0102499	SHG alpha-glucan phosphorylase activity
34311	GO:0102500	beta-maltose 4-alpha-glucanotransferase activity
34330	GO:0102521	tRNA-4-demethylwyosine synthase activity
34331	GO:0102522	tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity
34354	GO:0102545	phosphatidyl phospholipase B activity
34363	GO:0102555	octanoyl transferase activity (acting on glycine-cleavage complex H protein)
34461	GO:0102662	malonate-semialdehyde dehydrogenase (acetylating, NAD+) activity
34549	GO:0102752	1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)
34553	GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity
34555	GO:0102758	very-long-chain enoyl-CoA reductase activity
34566	GO:0102769	dihydroceramide glucosyltransferase activity
34664	GO:0102867	molybdenum cofactor sulfurtransferase activity
34758	GO:0102965	alcohol-forming fatty acyl-CoA reductase activity
34810	GO:0103025	alpha-amylase activity (releasing maltohexaose)
34811	GO:0103026	fructose-1-phosphatase activity
34828	GO:0103046	alanylglutamate dipeptidase activity
34885	GO:0104004	cellular response to environmental stimulus
34890	GO:0106005	RNA 5'-cap (guanine-N7)-methylation
34898	GO:0106014	regulation of inflammatory response to wounding
34901	GO:0106017	phosphatidylinositol-3,4-bisphosphate phosphatase activity
34902	GO:0106018	phosphatidylinositol-3,5-bisphosphate phosphatase activity
34903	GO:0106019	phosphatidylinositol-4,5-bisphosphate phosphatase activity
34911	GO:0106027	neuron projection organization
34913	GO:0106029	tRNA pseudouridine synthase activity
34914	GO:0106030	neuron projection fasciculation
34918	GO:0106035	protein maturation by [4Fe-4S] cluster transfer
